LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUusb Headers,,,TOTAL,
,,,,,,8/29/19 (14145^5),,,=SUM(J5:J100),
,,,,,,,,,,
1,D1,1,D-LED,5MMGN,CREE@C503B-GCN-CY0C0791,LED GREEN 5MM 3.2V@20MA,(1),0.21,=C5*I5,ONESHOT
2,D3,1,D-LED,5MMRD,CREE@C503B-RCN-CW0Z0AA1,LED RED 5MM 2.1V@20MA,(1),0.129,=C6*I6,ONESHOT
3,D4,1,D-LED,5MMYE,CREE@C503B-AAN-CA0B0342,LED AMBER 5MM 2.1V@20MA,(1),0.1342,=C7*I7,SHOP
4,J1,=1,J-USB,B,MOLEX@0670688000,USB B THROUGH HOLE,(1),1.199,=C8*I8,FTDI
5,J2,=1*20/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,CONN HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET OF 20X2,(1 4),3.774,=C9*I9,IRRIGATE7
6,J3,=0*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,CONN HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET OF 3X2,(1 4),3.774,=C10*I10,IRRIGATE7
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,
,,,,,,(4) Cut 36 pin to needed size,,,,


