LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUusb SMD,,,TOTAL,
,,,,,,8/29/19 (14145^5),,,=SUM(J5:J100),
,,,,,,,,,,
1,C1 C2 C5 C6 C7 C10 C11 C12 C13,9,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C3,1,C-C,0603X7R50V223K,TDK@C1608X7R1H223K080AA,CAP CER 0,022UF 50V 10% X7R 0603,(1),0.0148,=C6*I6,FTDI
3,C4,1,C-C,1206X7R50V475K,TAIYO@UMK316AB7475KL-T,CAP CER 4.7UF 50V 10% X7R 1206,(1),0.115,=C7*I7,FTDI
4,C8,1,C-C,0603NPO50V471J,MURATA@GRM1885C1H471JA01D,CAP CER 470PF 50V 5% NPO 0603,(1),0.0202,=C8*I8,ADPT
5,C9,1,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C9*I9,ADPT
6,C11 C12,2,C-C,0603NPO50V270J,SAMSUNG@CL10C270JB8NNNC,CAP CER 27PF 50V 5% NPO 0603,(1),0.0067,=C10*I10,RPUNO
7,D2,1,D-TVS,RD1,DIODES@DESDA5V3L-7,TVS DIODE 3V 15V SOT23,(1),0.1286,=C11*I11,FTDI
8,D5,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C12*I12,CC01
9,F1,1,F-RST,bM,BEL@0ZCJ0050FF2G,FUSE RESETTABLE 500MA 8V 1206,(1),0.0972,=C13*I13,FTDI
10,L1,1,L-FB,MH2029-300Y,BORNS@MH2029-300Y,FERRITE SMDBEAD 30OHM@100MHZ 3A 0805,(1),0.0272,=C14*I14,FTDI
11,Q1,1,Q-PCH,DMB,DIODES@DMP3098L-7,MOSFET P-CH 3.8A 30V SOT23,(1),0.1482,=C15*I15,FTDI
12,Q2 Q3,2,Q-PNP,K3N,DIODES@MMBT3906-7-F,TRANSISTOR PNP GP 40V 200MA SOT23,(1),0.0247,=C16*I16,HT
13,R1,1,R-C,0805KX5621,YAGEO@RC0805FR-075K62L,RESISTOR CHIP 1% 5K62OHM 0805,(1),0.0064,=C17*I17,CC01
14,R2 R5 R8 R10 R11,5,R-C,0805KX1002,YAGEO@RC0805FR-0710KL,RESISTOR CHIP 1% 10KOHM 0805,(1),0.0025,=C18*I18,ADPT
15,R3 R4 R6 R7,4,R-C,0805KX1004,YAGEO@RC0805FR-071ML,RESISTOR CHIP 1% 1MOHM 0805,(1),0.0025,=C19*I19,MT
16,R9,0,R-C,OPEN,,,(),0.0,=C20*I20,NA
17,R12 R13,2,R-C,0805KX1821,YAGEO@RC0805FR-071K82L,RESISTOR CHIP 1% 1K82OHM 0805,(1),0.0064,=C21*I21,RPUPI
18,U1,1,U-TRANSCEIVER,CP2105,SILABS@CP2105-F01-GMR,TRANSCEIVER USB DUAL UART 24QFN,(1),1.56,=C22*I22,FTDI
19,U2,1,U-DCDC,KB33,MICREL@MIC5205-3.3YM5,REG ULDO 3V3 150MA SOT23-5,(1),0.34,=C23*I23,ADPT
20,U3,1,U-AVR,ATMEGA328PB,ATMEL@ATMEGA328PB-AU,MCU AVR8 32KB FLASH 20MHZ 32TQFP,(1),1.27,=C24*I24,ADPT
21,Y1,1,Y-XTL,12MHZ20,ECS@ECS-120-20-3X-TR,CRYSTAL 12MHZ 20PF 30PPM  CSM-3X,(1),0.315,=C25*I25,ADPT
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) Alternate part with same or better rating allowed,,,,



